Acronym;Description
PRDIFRECUR;Pressure threshold for activation of Reduced Current Control
PRFATLD05;Label for calibration purposes: start of 0,5mm DTESK test with service tester
PRHDRMX;Pressure threshold fault full delivery
PRHLSUL;Small relative heater output up to condition B_atmtpa=TRUE
PRISTHPRCP;Rail pressure threshold for injection valve high pressure current profile
PRISTUSTHD;Threshold rail pressure for reset of start with high fuel pressure
PRMAX;Max.setpoint-value rail pressure
PRMIN;Min. setpoint-value rail pressure
PRMINMSV;Minimum rail pressure to hold the MSV closed
PRMINSAOF;Rail pressure offset during fuel cutoff for activation demand control
PRMIN_UM;Min. permissible fuel pressure for monitoring based on fuel-mass
PRMMNPL;Minimum value for plausible rail pressure
PRMSVHDST;Pressure threshold for msv cont. control during high pressure start
PRMXDSTHDR;Maximum fuel pressure for activation of diagnosis start with high fuel pressure
PRMXNL;Maximum setpoint rail pressure in limp home mode
PRMXRQT;Max. rail pressure at tester request
PRNHSP;Minimum pressure for injections in the compression stroke
PRNOESAB;Rail-pressure threshold for injection abort for GDI
PRNSWLAA;Rail pressure for after start and warm-up correction activation
PRNSWLAD;Rail pressure for after start and warm-up correction de-activation
PROKON;Project configuration
PRRGLMAX;Limiter maximum value integrator part
PRRGLMIN;Limiter minimum value integrator part
PRSOLAP;Application value setpoint rail-pressure
PRSOLLFLT;Desired rail pressure for direct injection fuel injector flow test
PRSTT;Rail pressure setpoint during start
PRTFDGN;Primary Tank Full Diagnosis
PRTFLDSP;Primary Tank Full Display
PRTRCDGN;Primary Tank Rated Capacity Diagnosis
PRTRCDSP;Primary Tank Rated Capacity Display
PR_T_UM;Fault tolerance time for Fuel pressure check in Fuction Monitoring
PSPUEB;Enable threshold for the ratio of ps_w/pu_w
PSPUTH;Enable threshold for the ratio of ps_w/pu_w
PSPVDKUG;Ratio pspvdk not reduced
PSPVLLKNMN;Pulsation threshold (min) for boost pressure pulsation detection
PSPVLLKNMX;Pulsation threshold (max) for boost pressure pulsation detection
PSPVLLKPMN;Pulsation threshold (min) for boost pressure pulsation detection
PSPVLLKPMX;Pulsation threshold (max) for boost pressure pulsation detection
PSPVMSAD;Max pressure ratio across throttle blade for adaptation enable
PSPVMSADSA;Pressure Ratio Across Throttle for Enabling Air Flow Adaptation During Fuel CutO
PSREMN;Min. replacement value for intake manifold pressure
PSREMX;Max. replacement value for intake manifold pressure
PSRMN;Lower pressure limit for range check
PSRMX;Upper pressure limit for range check
PSRPFMN;Manifold pressure limit where pulsation at manifold appears
PSRPVDUG;Ratio pspvdk not reduced
PTEBPTH;Threshold for band pass filtered rectified pressure for slosh detection
PTEDE;Pressure difference for stabilized tank pressure
PTEDOZ;Pressure difference for rationality check of pressure sensor
PTEINCMN;Minimum Tank Pressurel for incremental check of Pressure Sensor Diagnosis
PTEINCMX;Maximum Tank Pressurel for incremental check of Pressure Sensor Diagnosis
PTEKORMN;Minimum pressure threshold for operating range of the tank leak diagnosis
PTEKORMX;Maximum pressure threshold for operating range of the tank leak diagnosis
PTWGDC;Maximal allowed pressure upstream throttle valve to allow the wastegate device c
PUE;Substitute value for ambient pressure in case of sensor failure
PUEBKV;Substitude value for ambient press. in case of sensor failure for function BKV
PUELD;Backup value for ambient pressur for boost pressure control
PUEONVMN;Min ambient pressure for EONV diagnostic
PULDR;Threshold ambient pressur for boost pressure diagnosis
PULSUV;Pulsation threshold f. overr.recirc.v.diag. f. turbo
PUPLMN;Lower limit for range check ambient pressure
PUPLMX;Upper limit for range check ambient pressure
PUPLPSRMN;Min. ambient pressure for intake manifold pressure diagnosis
PUTEDO;Maximum threshold for change of the ambient pressure
PVACBMN;Lower boundary at which vacuum is considered to be building
PVAPIRGMN;Minimum pressure-ratio threshold when pirg-offset adaptation still active
PVAPIRGMX;Maximum pressure-ratio threshold when pirg-offset adaptation still active
PVDEMN;Backup value for lowest possible pressure upstream of throttle
PVDEMX;Backup value for highest possible pressure upstream of throttle
PVDGRELDD;Backup value of basic boost pressure for LDR-diagnosis
PVDMN;Lower pressure limit for range check
PVDMX;Upper pressure limit for range check
PVDXABS;Absolute maximum boost pressure
PVFKFUMN;Min. threshold of pressure ratio for fupsrl-adaption
PVFKFUMX;Max. threshold of pressure ratio for fupsrl-adaption
PVLDNEZ;LLR: P-gain for vehicle at rest (air path)
PVLDNEZKH;ISC proportional part on air-path
PVLDNEZV;LLR: P-gain for vehicle rolling (air path)
PZWKRA;Percentage frequency of ignition angle output by KC during dyn. adaption
PZYL_UM;Cylinder pressure in function monitoring
Q_BLS_H_UM;High threshold for recognizing S_BLS level 2
RADU;Wheel circumference
RADUDR;Wheel circumference, driven wheel
RALEMAX;Limitation for max turnback angle
RAMPASR;Ramp steepness during advancement of ASR torque request
RAMPTRTRQD;Integration constant to ramp down the engine torque during the transmission over
RAMPTRTRQU;Integration constant to ramp up the engine torque during the transmission overhe
RBELH;On-load resistance for pump current generation downstr. cat
RDE;Detection of reverse rotation
RDEPHNMIN;Reverse rotation detection via camshaft: time debouncing for reseting B_rdph aft
RDEPHPRMX;Reverse rotation detection via camshaft: max. countervalue for debouncing
RDHDEVOCTR;Number of synchros to reset counters
RDUNDEF;Angle range within there is no validity of the reverse detection
RDUNDEFR;Undefined angle range in reverse-running detection
REAC_T2_UC;Fault time function monitoring - fault reaction monitoring in instruction test
REAC_T2_UM;Fault time for function monitoring - fault reaction monitoring in UF
REAC_T3_UC;Fault time for checking ignition cut off in the instruction test
REAC_T3_UM;Fault time for checking ignition cut off in the fault reaction monitoring
RECIKAPPA;Reversed value of the isentropic exponent
REDABM;Fuel cut-off table for torque reduction
REDHYOC;Hysteresis of reduction step at bigger desired red. step than actual value
REDHYUC;Hysteresis of reduction step at smaller desired red. step than actual value
REDMXMSV;Maximal step number for MSV off
REDMXSA;Maximum reduction step for sequential fuel cutoff
REDZEM;Threshold between ignition intervention and injector disabling
REDZEMNL;Threshold between ignition intervention and injector disabling, emerg. mode
REFINI;Initial value for reference level if knock control enabled
REMRVSMX;Number of remote start attempts allowed
RESFDSHMX;Threshold for response time of oxygen sensor downstream front catalyst
RFAAAA;Dummy fid: Relationship fid -> dfp (Mode A)
RFAFRA;Relationship fid to dfp: Mode A, range FRA of LRA
RFAORA;Relationship fid to dfp: Mode A, range ORA of LRA
RFATEH;Relationship fid to dfp: Mode A, purge control at high load
RFATEL;Relationship fid to dfp: Mode A, purge control at low load
RFATEN;Emergency canister purge contributes to this fault path (DFP)
RFBAAA;Dummy fid: Relationship fid -> dfp (Mode B)
RFBFRST;Relationship fid to dfp: Mode B, short test of close loop control
RFBHKT;Fault path computed by DKATSP
RFBHKT2;Fault path computed by DKATSP
RFBLASH;Relationship fid to dfp: Mode B, function DLSAHK
RFBLLRH;Idlespeed deviation HOM contributes to this fault path (DFP)
RFBLLRKH;Idle speed control diagnosis contributes to this fault path (DFP)
RFCANWS;DFP receiv. contrib. of diagnosis camshaft actuator exhaust
RFCDWVA;Fault path computed by DWVNWKW Auslass-NW 1
RFCDWVE;Fault path computed by DWVNWKW Einlass-NW 1
RFCENWS;DFP receiv. contrib. of diagnosis camshaft actuator inlet
RFCIMP1P;DFP receiv. contrib. of IUMPR-General Denominator w/ poti1-fault
RFCIMP2P;DFP receiv. contrib. of IUMPR-General Denominator w/ poti2-fault
RFCIMPGD;DFP receiv. contrib. of IUMPR-General Denominator
RFCIMPIC;DFP receiv. contrib. of IUMPR-Ignition Cycle Counter
RFCNWVA;DFP receiv. contrib. of diagnosis of locked camshaft actuator exhaust
RFCNWVE;DFP receiv. contrib. of diagnosis of locked camshaft actuator inlet
RFCTES;Relationship fid to dfp: Mode C, evap system monitoring
RFCTESK;Relationship fid to dfp: Mode C, evap syst. monit. smallest leak
RGAAAA;Dummy fid: upper limit of ramp priority (Mode A)
RGAFRA;Upper limit of ramp priority: Mode A, range FRA of LRA
RGAORA;Upper limit of ramp priority: Mode A, range ORA of LRA
RGATEH;Upper limit of ramp priority: Mode A, purge control at high load
RGATEL;Upper limit of ramp priority: Mode A, purge control at low load
RGATEN;Upper limit of ramp priority RPRATEN of emergency canister purge
RGBAAA;Dummy fid: upper limit of ramp priority (Mode B)
RGBFRST;Upper limit of ramp priority: Mode B, short test of close loop control
RGBHKT;Upper limit of ramp priority RPR of DKATSP
RGBHKT2;Upper limit of ramp priority RPR of DKATSP
RGBLASH;Upper limit of ramp priority: Mode B, function DLSAHK
RGBLLRH;Upper limit of ramp priority RPRBLLRH of idlespeed deviation HOM
RGBLLRKH;Upper limit of ramp priority rprbllrkh of idle speed control diagnosis
RGCAAA;Dummy fid: upper limit of ramp priority (Mode C)
RINCAL;Calibration resistance for internal resistance of Nernst cell
RINDYNH;Lim. value internal resistance Nernst cell of dynamic LSF downstream cat.
RINHAB;Limit internal resistance Ri of the Nernst sensor downstream cat for B_shab
RINHMX;Limit internal resistance Ri of the Nernst sensor downstream cat to max. value
RININI;Initializ. value of rinlsu_w (resist. value of the Nernst cell LSU)
RINNPH;Threshold to detect condition Ri is too high
RISIGRESH;Threshold for reset wiring-interruption with Ri-diagnosis downstr. cat
RK;Relative fuel mass
RKAMX_UC;RKAMX_UM at instruction test
RKAMX_UM;Max. permissible value of additve air-fuel-adaption at monitoring function
RKAPP;Application value for rk
RKBAUM;Rk-threshold for acceleration enrichment display
RKLLMX;Lambda deviation at max. ora_w in idle speed
RKMNHDP;Min. required fuel mass for plausibility check of high-pressure-system
RKMSVZPAH;Hysteresis of threshold relative fuel mass MSV two-point-control
RKMXHDP;Max. fuel mass for plausibility check of high-pressure-system
RKO_UC;Offset tolerance value of the instruction test
RKO_UM;Offset tolerance value of the function monitoring
RKRMX1N;Maximum of reference level for knock detection threshold cylinder group 1
RKRMX2N;Maximum of reference level for knock detection threshold cylinder group 2
RKSPH;Resistance between congruent voltage and sensor signal downstr. cat
RKTEO_UC;Offset for check of minimal rkte from purge control in instruction test
RKTEO_UM;Offset for check of minimal rkte from purge control in function monitoring
RKTI;Calculation of injection time (ti) from relative fuel mass (rk)
RKTI_T_UM;Fault tolerance time for rk-ti check
RKUKGMN;Min. rel. fuel mass transition compensation
RKVAUM;Rk-threshold for deceleration enleanment display
RLC_T_UC;Fault tolerance time for rl comparison with the function in instruction test
RLC_T_UM;Fault tolerance time for rl comparison with the function in function monitoring
RLDV;Detection error of speed signal due to realtive load signal
RLDYNFAW;Load threshold for dynamics check LSU at funktion request (16 Bit)
RLDYNOW;Upper load threshold for dynamics check LSU (16 Bit)
RLDYNUW;Lower load threshold for dynamics check LSU (16 Bit)
RLKTDMN;Minimum relative air charge for catalyst diagnosis
RLKTDMNT;Minimum relative air charge for catalyst diagnosis, functional test
RLKTDMX;Maximum relative air charge for catalyst diagnosis
RLKTDMXT;Maximum relative air charge for catalyst diagnosis, functional test
RLLRHON;Char. line on nmot, upper rl control threshold for downstream lambda control
RLLRHUN;Char. line on nmot, lower control threshold rl for downstream lambda control
RLLRUN;Char.line above nmot,lower rL control limit for controller in front of catalyst
RLMDVERL;"Intake gas threshold for for idle speed diagnosis ;dep. on accessory load"
RLMILOWRM;Max. engine load for masking out MIL-blinking due to cat damaging misfire
RLMNHSPKH;Minimum air charge for request of hom.split injection for cat. heating
RLMNN;Characteristic minimum charge
RLMNSAN;Characteristic minimum charge in overrun
RLMXDHDEVO;Load threshold for function DHDEVO
RLMXELDR;Maximum air charge for protection against overboost in case of E_ldr
RLMXHDEV;Max. allowed charge in case of open clamping HPIV
RLNOT;Limp-home relative air charge rl in case of E_DK and E_LM
RLO1;Upper load-signal threshold range 1
RLO1M;Upper load-signal threshold range 1 at lean mode
RLO2;Upper load threshold of range 2
RLO2M;Upper load threshold of range 2 at lean mode
RLO3;Upper load-signal threshold range 3
RLO3M;Upper load-signal threshold range 3 at lean mode
RLPO_UC;Offset tolerance value of the instruction test
RLPO_UM;Offset tolerance value of the function monitoring
RLPSDK;Factor throttle range
RLP_T_UC;Verification time for deviation between rl and rlp in instruction test
RLP_T_UM;Verification time for deviation between rl and rlp in func. mon.
RLSOLAP;Desired relative air charge (application mode)
RLSOLAPW;Rlsol-demand by characteristic line for application
RLU1;Lower load-signal threshold range 1
RLU1M;Lower load-signal threshold range 1 at lean mode
RLU2;Lower load-signal threshold range 2
RLU2FA;Lower load-signal threshold range 2 at function-requirement (B_falra)
RLU2M;Lower load-signal threshold range 2 at lean Mode
RLU3;Lower load-signal threshold range 3
RLU3M;Lower load-signal threshold range 3 im Magerbetrieb
RL_W;Relative air charge
RMLSCD;Difference of load with stored value to determine the similar conditions window
RMLSCDP;Difference of load with stored value to determine the similar conditions window
ROMRSTA_UM;Max. number of resets for error detection in the ROM check during initialization
ROVEVABMX;Maximal oxygen fraction from before cut-off for validation of the measurement
RSOXABST;Oxygen storage rate during stop time
RSTEP;Threshold: ratio of OSC value to modell value to trigger Step Change
RSTEPC;Threshold: ratio of OSC value to modell value to confirm Step Change
RSTHDREBF;Number of synchros for waiting on high fuel pressure at initial fueling mode
RTDBIHT;Braking input hold time (RTD)
RTDDISTCD;Desired throttle clutch dump (RTD)
RTDDTCA1;Delta torque coefficient A1 (RTD)
RTDDTCA2;Delta torque coefficient A2 (RTD)
RTDDTCB0;Delta torque coefficient B0 (RTD)
RTDDTCB2;Delta torque coefficient B2 (RTD)
RTDDTDIV;Delta torque divisor (RTD)
RTDDTGM;Delta torque gear mult (RTD)
RTDESCD;Engine speed clutch dump (RTD)
RTDLDAT;Lift dive active time (RTD)
RTDLDTT;Lift dive test time (RTD)
RTDMTGUD;Manual transmission shift gear update delay (RTD)
RTDNDTL;Negative delta torque limiter (RTD)
RTDPDTL;Positive delta torque limiter (RTD)
RTDRRVSSFD;Rough road VSS filter disable (RTD)
RTDTBA;Throttle braking acceleration (RTD)
RTDVABA;Vehicle acceleration braking acceleration (RTD)
RTDVABD;Vehicle acceleration braking deceleration (RTD)
RTDVAFCA1;Vehicle acceleration filter coefficient A1 (RTD)
RTDVAFCA2;Vehicle acceleration filter coefficient A2 (RTD)
RTDVAFCB0;Vehicle acceleration filter coefficient B0 (RTD)
RTDVAFCB1;Vehicle acceleration filter coefficient B1 (RTD)
RTDVAFCB2;Vehicle acceleration filter coefficient B2 (RTD)
RTDVAFDIV;Vehicle acceleration filter divisor (RTD)
RTDVALFCA1;Vehicle acceleration lag filter coefficient A1 (RTD)
RTDVALFCA2;Vehicle acceleration lag filter coefficient A2 (RTD)
RTDVALFCB0;Vehicle acceleration lag filter coefficient B0 (RTD)
RTDVALFCB1;Vehicle acceleration lag filter coefficient B1 (RTD)
RTDVALFCB2;Vehicle acceleration lag filter coefficient B2 (RTD)
RTDVALFDIV;Vehicle acceleration lag filter divisor (RTD)
RTDVSCD;Vehicle speed clutch dump (RTD)
RTDVSSBE;VSS braking enable (RTD)
RTEHKMX;Max threshold in case of canister purge
RVSDISCODE;Code PID $1551 - Remote Vehicle Start Disable History
RVSNENCODE;Code PID $1551 - Remote Vehicle Start Disable History
S6D8180;Mode6-DFP for additive correction
S6D8182;Mode6-DFP for multiplicative correction
SAAAAA;Dummy fid: Slope in active phase (Mode A)
SAABOMX;Max. number of cold starts (abo) to release fuel cut off adaptation
